Notes,Image,Folio
"Leaved line break at start of book","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.45000000,0.54775000,0.32700000,0.03475000",urn:cite:fuhc:euch.3r
"Plus","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.48966667,0.57800000,0.01466667,0.01025000",urn:cite:fuhc:euch.3r
"Plus","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.70366667,0.57075000,0.01700000,0.01050000",urn:cite:fuhc:euch.3r
"Asterisk","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.53400000,0.59775000,0.01300000,0.01000000",urn:cite:fuhc:euch.3r
"Asterisk","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.65033333,0.59125000,0.01666667,0.01275000",urn:cite:fuhc:euch.3r
"Decorative initial upsilon","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.43100000,0.60200000,0.04800000,0.08225000",urn:cite:fuhc:euch.3r
"Decorative initial tau","urn:cite:ap:apimg.056r-049v_Arch04r_Sinar_pseudo_no-veil@0.09133333,0.70150000,0.06033333,0.06000000",urn:cite:fuhc:euch.4r
"Decorative initial tau","urn:cite:ap:apimg.056v-049r_Arch04v_Sinar_pseudo_no-veil@0.46400000,0.09650000,0.05300000,0.04975000",urn:cite:fuhc:euch.4v
"Decorative initial tau","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.40533333,0.09925000,0.05333333,0.05025000",urn:cite:fuhc:euch.5r
"Decorative initial tau","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.40333333,0.65275000,0.05200000,0.06200000",urn:cite:fuhc:euch.5r
"Decorative initial tau","urn:cite:ap:apimg.055v-050r_Arch05v_Sinar_pseudo_no-veil@0.49166667,0.37950000,0.05033333,0.04925000",urn:cite:fuhc:euch.5v
"Decorative initial upsilon","urn:cite:ap:apimg.082r-087v_Arch06r_Sinar_pseudo_no-veil@0.41133333,0.11850000,0.05333333,0.08500000",urn:cite:fuhc:euch.6r
"Decorative initial ???","urn:cite:ap:apimg.082v-087r_Arch06v_Sinar_pseudo_no-veil@0.48400000,0.59350000,0.04666667,0.05050000",urn:cite:fuhc:euch.6v
"obelus?","urn:cite:ap:apimg.081v-088r_Arch03v_Sinar_pseudo_no-veil@0.5138,0.4013,0.0206,0.0108",urn:cite:fuhc:euch.3v
"unknown mark","urn:cite:ap:apimg.055v-050r_Arch05v_Sinar_pseudo_no-veil@0.556,0.2153,0.0187,0.0145",urn:cite:fuhc:euch.5v
"unknown mark","urn:cite:ap:apimg.055v-050r_Arch05v_Sinar_pseudo_no-veil@0.7087,0.2045,0.0243,0.0148",urn:cite:fuhc:euch.5v
"///","urn:cite:ap:apimg.161v-156r_Arch35v_Sinar_pseudo_no-veil@0.1617,0.3748,0.0207,0.0158",urn:cite:fuhc:euch.35v
"//","urn:cite:ap:apimg.161v-156r_Arch35v_Sinar_pseudo_no-veil@0.3637,0.3538,0.017,0.0103",urn:cite:fuhc:euch.35v
0,"urn:cite:ap:apimg.161v-156r_Arch35v_Sinar_pseudo_no-veil@0.1163,0.7145,0.022,0.0095",urn:cite:fuhc:euch.25v
"marginal writing","urn:cite:ap:apimg.099v-101r_Arch51v_Sinar_pseudo_no-veil@0.4763,0.486,0.0537,0.0705",urn:cite:fuhc:euch.51v
"marginal writing","urn:cite:ap:apimg.069r-068v_Arch09r_Sinar_pseudo_no-veil@0.4017,0.4098,0.0597,0.1093",urn:cite:fuhc:euch.9r
"Leaved line break at end of book","urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.0863,0.3828,0.3357,0.0398",urn:cite:fuhc:euch.15r
"Decorative initial alpha","urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.3977,0.1523,0.0697,0.0635",urn:cite:fuhc:euch.15r
"Dotted line around book title","urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.45,0.0943,0.2857,0.067",urn:cite:fuhc:euch.15r
"Initial epsilon iota","urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.4313,0.6245,0.0477,0.0398",urn:cite:fuhc:euch.7r
"Decorative initial tau","urn:cite:ap:apimg.017v-016r_Arch07v_Sinar_pseudo_no-veil@0.469,0.0862,0.058,0.0628",urn:cite:fuhc:euch.7v
"Initial tau","urn:cite:ap:apimg.028v-021r_Arch08v_Sinar_pseudo_no-veil@0.5083,0.33,0.034,0.0323",urn:cite:fuhc:euch.8v
"Decorative initial tau","urn:cite:ap:apimg.069r-068v_Arch09r_Sinar_pseudo_no-veil@0.4263,0.6535,0.062,0.0585",urn:cite:fuhc:euch.9r
"Decorative initial upsilon","urn:cite:ap:apimg.128r-129v_Arch10r_Sinar_pseudo_no-veil@0.415,0.7083,0.05,0.0665",urn:cite:fuhc:euch.10r
"Decorative initial tau","urn:cite:ap:apimg.127v-130r_Arch11v_Sinar_pseudo_no-veil@0.4857,0.0885,0.054,0.0495",urn:cite:fuhc:euch.11v
"Decorative initial omicron","urn:cite:ap:apimg.048r-041v_Arch25r_Sinar_pseudo_no-veil@0.411,0.1073,0.0423,0.0338",urn:cite:fuhc:euch.25r
"Decorative initial tau","urn:cite:ap:apimg.147v-142r_Arch40r_Sinar_pseudo_no-veil@0.4227,0.5785,0.053,0.06",urn:cite:fuhc:euch.40r
"Decorative initial omicron","urn:cite:ap:apimg.147r-142v_Arch40v_Sinar_pseudo_no-veil@0.4883,0.632,0.0383,0.0268",urn:cite:fuhc:euch.40v
"Decorative initial tau","urn:cite:ap:apimg.148v-141r_Arch41r_Sinar_pseudo_no-veil@0.4453,0.7275,0.0497,0.0803",urn:cite:fuhc:euch.41r
"Decorative initial omicron","urn:cite:ap:apimg.103r-097v_Arch42r_Sinar_pseudo_no-veil@0.5417,0.3213,0.0413,0.0283",urn:cite:fuhc:euch.42r
"Decorative initial delta","urn:cite:ap:apimg.103v-097r_Arch42v_Sinar_pseudo_no-veil@0.4843,0.326,0.0497,0.0445",urn:cite:fuhc:euch.42v
"Decorative initial omicron upsilon","urn:cite:ap:apimg.095v-090r_Arch43v_Sinar_pseudo_no-veil@0.4743,0.7418,0.054,0.0388",urn:cite:fuhc:euch.43v
"Decorative initial tau","urn:cite:ap:apimg.031r-032v_Arch44r_Sinar_pseudo_no-veil@0.417,0.4995,0.0487,0.0658",urn:cite:fuhc:euch.44r
"Leaved line break at end of book","urn:cite:ap:apimg.109r-106v_Arch45r_Sinar_pseudo_no-veil@0.1237,0.8163,0.3137,0.0398",urn:cite:fuhc:euch.45r
"Decorative initial alpha","urn:cite:ap:apimg.109r-106v_Arch45r_Sinar_pseudo_no-veil@0.4227,0.3233,0.0903,0.072",urn:cite:fuhc:euch.45r
"Dotted line around book title","urn:cite:ap:apimg.109r-106v_Arch45r_Sinar_pseudo_no-veil@0.46,0.2738,0.2667,0.0618",urn:cite:fuhc:euch.45r
"Strange gap","urn:cite:ap:apimg.108r-107v_Arch48r_Sinar_pseudo_no-veil@0.501,0.194,0.1173,0.024",urn:cite:fuhc:euch.48r
"Strange gap","urn:cite:ap:apimg.108v-107r_Arch48v_Sinar_pseudo_no-veil@0.2613,0.4845,0.2017,0.063",urn:cite:fuhc:euch.48v
"Initial pi","urn:cite:ap:apimg.038r-035v_Arch50r_Sinar_pseudo_no-veil@0.11,0.7585,0.0513,0.0393",urn:cite:fuhc:euch.50r
"Decorative initial tau","urn:cite:ap:apimg.112r-115v_Arch56r_Sinar_pseudo_no-veil@0.4327,0.3118,0.05,0.057",urn:cite:fuhc:euch.56r
"Decorative initial tau","urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil@0.112,0.667,0.0497,0.0665",urn:cite:fuhc:euch.61r
"Decorative initial kappa","urn:cite:ap:apimg.116v-111r_Arch62v_Sinar_pseudo_no-veil@0.503,0.7513,0.0437,0.0418",urn:cite:fuhc:euch.62v
"Decorative initial tau","urn:cite:ap:apimg.093v-092r_Arch65v_Sinar_pseudo_no-veil@0.1437,0.6163,0.0603,0.049",urn:cite:fuhc:euch.65v
