Sequence,Page,Label
1,urn:cite:ap:bod8.1r,"Codex Bodmer 8, folio 1 recto"
2,urn:cite:ap:bod8.1v,"Codex Bodmer 8, folio 1 verso"
3,urn:cite:ap:bod8.2r,"Codex Bodmer 8, folio 2 recto"
4,urn:cite:ap:bod8.2v,"Codex Bodmer 8, folio 2 verso"
5,urn:cite:ap:bod8.3r,"Codex Bodmer 8, folio 3 recto"
6,urn:cite:ap:bod8.3v,"Codex Bodmer 8, folio 3 verso"
7,urn:cite:ap:bod8.4r,"Codex Bodmer 8, folio 4 recto"
8,urn:cite:ap:bod8.4v,"Codex Bodmer 8, folio 4 verso"
9,urn:cite:ap:bod8.5r,"Codex Bodmer 8, folio 5 recto"
10,urn:cite:ap:bod8.5v,"Codex Bodmer 8, folio 5 verso"
11,urn:cite:ap:bod8.6r,"Codex Bodmer 8, folio 6 recto"
12,urn:cite:ap:bod8.6v,"Codex Bodmer 8, folio 6 verso"
13,urn:cite:ap:bod8.7r,"Codex Bodmer 8, folio 7 recto"
14,urn:cite:ap:bod8.7v,"Codex Bodmer 8, folio 7 verso"
15,urn:cite:ap:bod8.8r,"Codex Bodmer 8, folio 8 recto"
16,urn:cite:ap:bod8.8v,"Codex Bodmer 8, folio 8 verso"
17,urn:cite:ap:bod8.9r,"Codex Bodmer 8, folio 9 recto"
18,urn:cite:ap:bod8.9v,"Codex Bodmer 8, folio 9 verso"
19,urn:cite:ap:bod8.10r,"Codex Bodmer 8, folio 10 recto"
20,urn:cite:ap:bod8.10v,"Codex Bodmer 8, folio 10 verso"
21,urn:cite:ap:bod8.11r,"Codex Bodmer 8, folio 11 recto"
22,urn:cite:ap:bod8.11v,"Codex Bodmer 8, folio 11 verso"
23,urn:cite:ap:bod8.12r,"Codex Bodmer 8, folio 12 recto"
24,urn:cite:ap:bod8.12v,"Codex Bodmer 8, folio 12 verso"
25,urn:cite:ap:bod8.13r,"Codex Bodmer 8, folio 13 recto"
26,urn:cite:ap:bod8.13v,"Codex Bodmer 8, folio 13 verso"
27,urn:cite:ap:bod8.14r,"Codex Bodmer 8, folio 14 recto"
28,urn:cite:ap:bod8.14v,"Codex Bodmer 8, folio 14 verso"
29,urn:cite:ap:bod8.15r,"Codex Bodmer 8, folio 15 recto"
30,urn:cite:ap:bod8.15v,"Codex Bodmer 8, folio 15 verso"
31,urn:cite:ap:bod8.16r,"Codex Bodmer 8, folio 16 recto"
32,urn:cite:ap:bod8.16v,"Codex Bodmer 8, folio 16 verso"
33,urn:cite:ap:bod8.17r,"Codex Bodmer 8, folio 17 recto"
34,urn:cite:ap:bod8.17v,"Codex Bodmer 8, folio 17 verso"
35,urn:cite:ap:bod8.18r,"Codex Bodmer 8, folio 18 recto"
36,urn:cite:ap:bod8.18v,"Codex Bodmer 8, folio 18 verso"
37,urn:cite:ap:bod8.19r,"Codex Bodmer 8, folio 19 recto"
38,urn:cite:ap:bod8.19v,"Codex Bodmer 8, folio 19 verso"
39,urn:cite:ap:bod8.20r,"Codex Bodmer 8, folio 20 recto"
40,urn:cite:ap:bod8.20v,"Codex Bodmer 8, folio 20 verso"
41,urn:cite:ap:bod8.21r,"Codex Bodmer 8, folio 21 recto"
42,urn:cite:ap:bod8.21v,"Codex Bodmer 8, folio 21 verso"
43,urn:cite:ap:bod8.22r,"Codex Bodmer 8, folio 22 recto"
44,urn:cite:ap:bod8.22v,"Codex Bodmer 8, folio 22 verso"
45,urn:cite:ap:bod8.23r,"Codex Bodmer 8, folio 23 recto"
46,urn:cite:ap:bod8.23v,"Codex Bodmer 8, folio 23 verso"
47,urn:cite:ap:bod8.24r,"Codex Bodmer 8, folio 24 recto"
48,urn:cite:ap:bod8.24v,"Codex Bodmer 8, folio 24 verso"
49,urn:cite:ap:bod8.25r,"Codex Bodmer 8, folio 25 recto"
50,urn:cite:ap:bod8.25v,"Codex Bodmer 8, folio 25 verso"
51,urn:cite:ap:bod8.26r,"Codex Bodmer 8, folio 26 recto"
52,urn:cite:ap:bod8.26v,"Codex Bodmer 8, folio 26 verso"
53,urn:cite:ap:bod8.27r,"Codex Bodmer 8, folio 27 recto"
54,urn:cite:ap:bod8.27v,"Codex Bodmer 8, folio 27 verso"
55,urn:cite:ap:bod8.28r,"Codex Bodmer 8, folio 28 recto"
56,urn:cite:ap:bod8.28v,"Codex Bodmer 8, folio 28 verso"
57,urn:cite:ap:bod8.29r,"Codex Bodmer 8, folio 29 recto"
58,urn:cite:ap:bod8.29v,"Codex Bodmer 8, folio 29 verso"
59,urn:cite:ap:bod8.30r,"Codex Bodmer 8, folio 30 recto"
60,urn:cite:ap:bod8.30v,"Codex Bodmer 8, folio 30 verso"
61,urn:cite:ap:bod8.31r,"Codex Bodmer 8, folio 31 recto"
62,urn:cite:ap:bod8.31v,"Codex Bodmer 8, folio 31 verso"
63,urn:cite:ap:bod8.32r,"Codex Bodmer 8, folio 32 recto"
64,urn:cite:ap:bod8.32v,"Codex Bodmer 8, folio 32 verso"
65,urn:cite:ap:bod8.33r,"Codex Bodmer 8, folio 33 recto"
66,urn:cite:ap:bod8.33v,"Codex Bodmer 8, folio 33 verso"
67,urn:cite:ap:bod8.34r,"Codex Bodmer 8, folio 34 recto"
68,urn:cite:ap:bod8.34v,"Codex Bodmer 8, folio 34 verso"
69,urn:cite:ap:bod8.35r,"Codex Bodmer 8, folio 35 recto"
70,urn:cite:ap:bod8.35v,"Codex Bodmer 8, folio 35 verso"
71,urn:cite:ap:bod8.36r,"Codex Bodmer 8, folio 36 recto"
72,urn:cite:ap:bod8.36v,"Codex Bodmer 8, folio 36 verso"
73,urn:cite:ap:bod8.37r,"Codex Bodmer 8, folio 37 recto"
74,urn:cite:ap:bod8.37v,"Codex Bodmer 8, folio 37 verso"
75,urn:cite:ap:bod8.38r,"Codex Bodmer 8, folio 38 recto"
76,urn:cite:ap:bod8.38v,"Codex Bodmer 8, folio 38 verso"
77,urn:cite:ap:bod8.39r,"Codex Bodmer 8, folio 39 recto"
78,urn:cite:ap:bod8.39v,"Codex Bodmer 8, folio 39 verso"
79,urn:cite:ap:bod8.40r,"Codex Bodmer 8, folio 40 recto"
80,urn:cite:ap:bod8.40v,"Codex Bodmer 8, folio 40 verso"
81,urn:cite:ap:bod8.41r,"Codex Bodmer 8, folio 41 recto"
82,urn:cite:ap:bod8.41v,"Codex Bodmer 8, folio 41 verso"
83,urn:cite:ap:bod8.42r,"Codex Bodmer 8, folio 42 recto"
84,urn:cite:ap:bod8.42v,"Codex Bodmer 8, folio 42 verso"
85,urn:cite:ap:bod8.43r,"Codex Bodmer 8, folio 43 recto"
86,urn:cite:ap:bod8.43v,"Codex Bodmer 8, folio 43 verso"
87,urn:cite:ap:bod8.44r,"Codex Bodmer 8, folio 44 recto"
88,urn:cite:ap:bod8.44v,"Codex Bodmer 8, folio 44 verso"
89,urn:cite:ap:bod8.45r,"Codex Bodmer 8, folio 45 recto"
90,urn:cite:ap:bod8.45v,"Codex Bodmer 8, folio 45 verso"
91,urn:cite:ap:bod8.46r,"Codex Bodmer 8, folio 46 recto"
92,urn:cite:ap:bod8.46v,"Codex Bodmer 8, folio 46 verso"
93,urn:cite:ap:bod8.47r,"Codex Bodmer 8, folio 47 recto"
94,urn:cite:ap:bod8.47v,"Codex Bodmer 8, folio 47 verso"
95,urn:cite:ap:bod8.48r,"Codex Bodmer 8, folio 48 recto"
96,urn:cite:ap:bod8.48v,"Codex Bodmer 8, folio 48 verso"
97,urn:cite:ap:bod8.49r,"Codex Bodmer 8, folio 49 recto"
98,urn:cite:ap:bod8.49v,"Codex Bodmer 8, folio 49 verso"
99,urn:cite:ap:bod8.50r,"Codex Bodmer 8, folio 50 recto"
100,urn:cite:ap:bod8.50v,"Codex Bodmer 8, folio 50 verso"
101,urn:cite:ap:bod8.51r,"Codex Bodmer 8, folio 51 recto"
102,urn:cite:ap:bod8.51v,"Codex Bodmer 8, folio 51 verso"
103,urn:cite:ap:bod8.52r,"Codex Bodmer 8, folio 52 recto"
104,urn:cite:ap:bod8.52v,"Codex Bodmer 8, folio 52 verso"
105,urn:cite:ap:bod8.53r,"Codex Bodmer 8, folio 53 recto"
106,urn:cite:ap:bod8.53v,"Codex Bodmer 8, folio 53 verso"
107,urn:cite:ap:bod8.54r,"Codex Bodmer 8, folio 54 recto"
108,urn:cite:ap:bod8.54v,"Codex Bodmer 8, folio 54 verso"
109,urn:cite:ap:bod8.55r,"Codex Bodmer 8, folio 55 recto"
110,urn:cite:ap:bod8.55v,"Codex Bodmer 8, folio 55 verso"
111,urn:cite:ap:bod8.56r,"Codex Bodmer 8, folio 56 recto"
112,urn:cite:ap:bod8.56v,"Codex Bodmer 8, folio 56 verso"
113,urn:cite:ap:bod8.57r,"Codex Bodmer 8, folio 57 recto"
114,urn:cite:ap:bod8.57v,"Codex Bodmer 8, folio 57 verso"
115,urn:cite:ap:bod8.58r,"Codex Bodmer 8, folio 58 recto"
116,urn:cite:ap:bod8.58v,"Codex Bodmer 8, folio 58 verso"
117,urn:cite:ap:bod8.59r,"Codex Bodmer 8, folio 59 recto"
118,urn:cite:ap:bod8.59v,"Codex Bodmer 8, folio 59 verso"
119,urn:cite:ap:bod8.60r,"Codex Bodmer 8, folio 60 recto"
120,urn:cite:ap:bod8.60v,"Codex Bodmer 8, folio 60 verso"
121,urn:cite:ap:bod8.61r,"Codex Bodmer 8, folio 61 recto"
122,urn:cite:ap:bod8.61v,"Codex Bodmer 8, folio 61 verso"
123,urn:cite:ap:bod8.62r,"Codex Bodmer 8, folio 62 recto"
124,urn:cite:ap:bod8.62v,"Codex Bodmer 8, folio 62 verso"
125,urn:cite:ap:bod8.63r,"Codex Bodmer 8, folio 63 recto"
126,urn:cite:ap:bod8.63v,"Codex Bodmer 8, folio 63 verso"
127,urn:cite:ap:bod8.64r,"Codex Bodmer 8, folio 64 recto"
128,urn:cite:ap:bod8.64v,"Codex Bodmer 8, folio 64 verso"
129,urn:cite:ap:bod8.65r,"Codex Bodmer 8, folio 65 recto"
130,urn:cite:ap:bod8.65v,"Codex Bodmer 8, folio 65 verso"
131,urn:cite:ap:bod8.66r,"Codex Bodmer 8, folio 66 recto"
132,urn:cite:ap:bod8.66v,"Codex Bodmer 8, folio 66 verso"
133,urn:cite:ap:bod8.67r,"Codex Bodmer 8, folio 67 recto"
134,urn:cite:ap:bod8.67v,"Codex Bodmer 8, folio 67 verso"
135,urn:cite:ap:bod8.68r,"Codex Bodmer 8, folio 68 recto"
136,urn:cite:ap:bod8.68v,"Codex Bodmer 8, folio 68 verso"
137,urn:cite:ap:bod8.69r,"Codex Bodmer 8, folio 69 recto"
138,urn:cite:ap:bod8.69v,"Codex Bodmer 8, folio 69 verso"
139,urn:cite:ap:bod8.70r,"Codex Bodmer 8, folio 70 recto"
140,urn:cite:ap:bod8.70v,"Codex Bodmer 8, folio 70 verso"
141,urn:cite:ap:bod8.71r,"Codex Bodmer 8, folio 71 recto"
142,urn:cite:ap:bod8.71v,"Codex Bodmer 8, folio 71 verso"
143,urn:cite:ap:bod8.72r,"Codex Bodmer 8, folio 72 recto"
144,urn:cite:ap:bod8.72v,"Codex Bodmer 8, folio 72 verso"
145,urn:cite:ap:bod8.73r,"Codex Bodmer 8, folio 73 recto"
146,urn:cite:ap:bod8.73v,"Codex Bodmer 8, folio 73 verso"
147,urn:cite:ap:bod8.74r,"Codex Bodmer 8, folio 74 recto"
148,urn:cite:ap:bod8.74v,"Codex Bodmer 8, folio 74 verso"
149,urn:cite:ap:bod8.75r,"Codex Bodmer 8, folio 75 recto"
