figureUrn,imageReference,Label
urn:cite:ap:efigures.01,"urn:cite:ecod:codbod8.cb-0008_167v@0.3664,0.5641,0.6036,0.3976",Unlabelled figure
urn:cite:ap:efigures.08,"urn:cite:ecod:codbod8.cb-0008_171r@0.039,0.3458,0.6096,0.2153",Unlabelled figure
urn:cite:ap:efigures.02,"urn:cite:ecod:codbod8.cb-0008_168v@0.3564,0.1238,0.5886,0.2341",Unlabelled figure
urn:cite:ap:efigures.04,"urn:cite:ecod:codbod8.cb-0008_169r@0.035,0.4599,0.6216,0.2191",Unlabelled figure
urn:cite:ap:efigures.05,"urn:cite:ecod:codbod8.cb-0008_169v@0.3704,0.4374,0.5846,0.3293",Unlabelled figure
urn:cite:ap:efigures.16,"urn:cite:ecod:codbod8.cb-0008_176r@0.038,0.3833,0.6106,0.2041",Unlabelled figure
urn:cite:ap:efigures.03,"urn:cite:ecod:codbod8.cb-0008_169r@0.037,0.1133,0.6176,0.2093",Unlabelled figure
urn:cite:ap:efigures.15,"urn:cite:ecod:codbod8.cb-0008_174v@0.3504,0.4479,0.5956,0.2506",Unlabelled figure
urn:cite:ap:efigures.06,"urn:cite:ecod:codbod8.cb-0008_170r@0.033,0.2851,0.6316,0.2536",Unlabelled figure
urn:cite:ap:efigures.07,"urn:cite:ecod:codbod8.cb-0008_170v@0.3393,0.084,0.6006,0.2723",Unlabelled figure
urn:cite:ap:efigures.09,"urn:cite:ecod:codbod8.cb-0008_171r@0.047,0.5319,0.6226,0.2423",Unlabelled figure
urn:cite:ap:efigures.10,"urn:cite:ecod:codbod8.cb-0008_171v@0.3594,0.4516,0.5826,0.3286",Unlabelled figure
urn:cite:ap:efigures.11,"urn:cite:ecod:codbod8.cb-0008_172r@0.0561,0.6437,0.5826,0.1613",Unlabelled figure
urn:cite:ap:efigures.12,"urn:cite:ecod:codbod8.cb-0008_172v@0.3984,0.2843,0.5546,0.2371",Unlabelled figure
urn:cite:ap:efigures.13,"urn:cite:ecod:codbod8.cb-0008_172v@0.3794,0.6017,0.5756,0.189",Unlabelled figure
urn:cite:ap:efigures.14,"urn:cite:ecod:codbod8.cb-0008_173v@0.3884,0.5229,0.5626,0.2716",Unlabelled figure
