duplicatedText,secondPass,imageReference,section,folio,order
πολυγώνου· ἡ δὲ Γ,<del>πολυγώνου· ἡ δὲ Γ</del>,"urn:cite:ecod:codbod8.cb-0008_004v@0.3544,0.2431,0.5375,0.0555",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3,4v,001
καὶ ἐπεζευχθεύσαν,<del>καὶ επεζευχθεύσαν</del>,"urn:cite:ecod:codbod8.cb-0008_006v@0.6196,0.5649,0.2783,0.0473",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8,6v,002
καθέητω,<del>καθέητω</del>,"urn:cite:ecod:codbod8.cb-0008_006v@0.5816,0.7082,0.0991,0.033",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8,6v,003
ἔστι δὲ καὶ τὸ μὲν ὑπὸ τῶν ΑΒ ΔΚ  διπλάσιον τοῦ ΑΒΔ τριγώνου·,,"urn:cite:ecod:codbod8.cb-0008_007r@0.1031,0.2213,0.5445,0.093",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8,7r,004
"τοῦ ΑΒΓ τριγώνου· ὁμοίως δὲ καὶ ἡ μεταξὺ τῶν ΑΔΒ μετὰ τοῦ ΑΕΒ τμήματος,",τοῦ ΑΒΓ τριγώνου· ὁμοίως δὴ καὶ ἡ μεταξὺ τοῦ ΔΒΓ τριγώνου μετὰ τοῦ ΓΖΒ· τμήματος·,"urn:cite:ecod:codbod8.cb-0008_008r@0.0831,0.4539,0.5616,0.0945",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10,8r,005
καὶ ὅλη ἄρα ἡ ΡΛ πρὸς ὅλην τὴν ΚΛ ἐστὶν· ὡς ἡ ΚΛ πρὸς ΛΔ·,καὶ ὅλη ἄρα ἡ ΡΛ πρὸς ὅλην τὴν ΚΛ ἐστὶν· ὡς ἡ ΚΛ πρὸς ΛΔ·,"urn:cite:ecod:codbod8.cb-0008_048r@0.0701,0.6234,0.5455,0.0923",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.4,48r,024
"πρὸς τὸ ἀπὸ ΘΒ, πρὸς λαβὼν","<del>πρὸς τὸ ἀπὸ ΘΒ, πρὸς λαβὼν</del>","urn:cite:ecod:codbod8.cb-0008_056v@0.3894,0.1875,0.5425,0.0908",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56v,032
"τριγώνων τινα μείζονα· αἵ τε γὰρ βάσεις τῶν βά-σεών εἰσι μείζους ἴσον· ἔτι δὲ πάλιν ὁμοίως μείζονα ἔχει ἐπιφάνειαν ἡ πυραμὶς· ἡ βάσιν μὲν ἔ-χουσα τὸ ΑΜΝ ΞΟΓ πολύγωνα, κορυφὴν δὲ τὸ Ε χωρὶς τοῦ ΑΕΓ τριγώνου τῆς κωνικῆς ἐπιφανείας τῆς μεταξὺ τῶν ΑΕΓ, μετὰ τοῦ ΑΕΓ τμήματος· κοινὸν ἀφηρήσθω τὸ ΑΒΓ τμῆμα· λοιπὰ ἄρα <milestone n=""10r""/> τὰ ΑΕΜ ΜΕΝ ΝΕΞ ΞΕΟ, ΟΕΓ","τριγώνων τινα μεί-ζονα· αἵ τε γὰρ βάσεις τῶν βάσεών εἰσι μεί-ζους ἴσον· ἔτι δὲ πάλιν ὁμοίως μείζονα ἔχει ἐπιφάνειαν ἡ πυραμὶς· ἡ βάσιν μὲν ἔχουσα τὸ ΑΜΝ ΞΟΓ πολύγωνα, κορυφὴν δὲ τὸ Ε χωρὶς τοῦ ΑΕΓ τριγώνου τῆς κωνικῆς ἐπιφανείας τῆς μεταξὺ τῶν ΑΕΓ, μετὰ τοῦ ΑΕΓ τμήματος· κοινὸν ἀφηρήσθω τὸ ΑΒΓ τμῆμα· λοιπὰ ἄρα τὰ ΑΕΜ ΜΕΝ ΝΕΞ ΞΕΟ, ΟΕΓ","urn:cite:ecod:codbod8.cb-0008_009v@0.3854,0.6032,0.5405,0.192
urn:cite:ecod:codbod8.cb-0008_010r@0.0941,0.1215,0.5495,0.2116",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11,9v-10r,006
τῶν ΤΔ,<del>τῶν ΤΔ</del>,"urn:cite:ecod:codbod8.cb-0008_014r@0.0981,0.6459,0.5576,0.0495",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14,14r,007
κυλίνδρου ἡμιολία ἐστὶ τῆς ἐπιφανείας,<del>κυλίνδρου ἡμιολία ἐστὶ τῆς ἐπιφανείας</del>,"urn:cite:ecod:codbod8.cb-0008_034r@0.0671,0.6692,0.6026,0.087",urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5,34r,013
