graphicsUrn,imageReference,description,section
urn:cite:ap:egraphics.001,"urn:cite:ecod:codbod8.cb-0008_167r@0.003,0.1523,0.1141,0.2003",illuminated Ε,urn:cts:greekLit:tlg4072.tlg001.cb8:1.preface
urn:cite:ap:egraphics.008,"urn:cite:ecod:codbod8.cb-0008_169v@0.6677,0.4546,0.0661,0.069",illuminated Δ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms
urn:cite:ap:egraphics.021,"urn:cite:ecod:codbod8.cb-0008_172r@0.049,0.6789,0.0631,0.048",illuminated Μ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.9
urn:cite:ap:egraphics.034,"urn:cite:ecod:codbod8.cb-0008_175r@0.0501,0.1478,0.0501,0.0645",illuminated Τ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.lemmata.7
urn:cite:ap:egraphics.037,"urn:cite:ecod:codbod8.cb-0008_175r@0.5666,0.5641,0.0981,0.0285",εἰς τὸ λ as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1
urn:cite:ap:egraphics.002,"urn:cite:ecod:codbod8.cb-0008_167r@0.0711,0.1725,0.5415,0.0608",heading for book 1,urn:cts:greekLit:tlg4072.tlg001.cb8:1.preface
urn:cite:ap:egraphics.009,"urn:cite:ecod:codbod8.cb-0008_170r@0.034,0.3053,0.0851,0.075",illuminated Κ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms
urn:cite:ap:egraphics.022,"urn:cite:ecod:codbod8.cb-0008_172v@0.2362,0.3098,0.1271,0.033",εἰς τὸ ι in margin as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10
urn:cite:ap:egraphics.035,"urn:cite:ecod:codbod8.cb-0008_175r@0.2102,0.3901,0.1371,0.03",εἰς τὸ κθ as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.lemmata.13
urn:cite:ap:egraphics.038,"urn:cite:ecod:codbod8.cb-0008_175r@0.0571,0.5641,0.036,0.0735",illuminated Ε,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1
urn:cite:ap:egraphics.003,"urn:cite:ecod:codbod8.cb-0008_167r@0.047,0.6444,0.0591,0.0593",illuminated Π,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms
urn:cite:ap:egraphics.005,"urn:cite:ecod:codbod8.cb-0008_168v@0.6286,0.123,0.0521,0.072",illuminated Μ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms
urn:cite:ap:egraphics.018,"urn:cite:ecod:codbod8.cb-0008_172r@0.3884,0.2776,0.1401,0.027",εἰς τὸ η as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.8
urn:cite:ap:egraphics.029,"urn:cite:ecod:codbod8.cb-0008_174r@0.4024,0.4134,0.1251,0.0255",εἰς τὸ ιδ as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.14
urn:cite:ap:egraphics.031,"urn:cite:ecod:codbod8.cb-0008_174v@0.8428,0.4336,0.1181,0.0255",εἰς τὸ ιϝ as heading,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.16
