Folio,BifolioWith,RectoVerso,Quire,Sequence,Label
fuhc:euch.1r,fuhc:euch.2v,recto,1,1,Folio 1r (bifolio with 2v in quire 1)
fuhc:euch.1v,fuhc:euch.2r,verso,1,2,Folio 1v (bifolio with 2r in quire 1)
fuhc:euch.2r,fuhc:euch.1v,recto,1,3,Folio 2r (bifolio with 1v in quire 1)
fuhc:euch.2v,fuhc:euch.1r,verso,1,4,Folio 2v (bifolio with 1r in quire 1)
fuhc:euch.3r,fuhc:euch.6v,recto,2,5,Folio 3r (bifolio with 6v in quire 2)
fuhc:euch.3v,fuhc:euch.6r,verso,2,6,Folio 3v (bifolio with 6r in quire 2)
fuhc:euch.4r,fuhc:euch.5v,recto,2,7,Folio 4r (bifolio with 5v in quire 2)
fuhc:euch.4v,fuhc:euch.5r,verso,2,8,Folio 4v (bifolio with 5r in quire 2)
fuhc:euch.5r,fuhc:euch.4v,recto,2,9,Folio 5r (bifolio with 4v in quire 2)
fuhc:euch.5v,fuhc:euch.4r,verso,2,10,Folio 5v (bifolio with 4r in quire 2)
fuhc:euch.6r,fuhc:euch.3v,recto,2,11,Folio 6r (bifolio with 3v in quire 2)
fuhc:euch.6v,fuhc:euch.3r,verso,2,12,Folio 6v (bifolio with 3r in quire 2)
fuhc:euch.7r,fuhc:euch.12v,recto,3,13,Folio 7r (bifolio with 12v in quire 3)
fuhc:euch.7v,fuhc:euch.12r,verso,3,14,Folio 7v (bifolio with 12r in quire 3)
fuhc:euch.8r,fuhc:euch.11v,recto,3,15,Folio 8r (bifolio with 11v in quire 3)
fuhc:euch.8v,fuhc:euch.11r,verso,3,16,Folio 8v (bifolio with 11r in quire 3)
fuhc:euch.9r,fuhc:euch.10v,recto,3,17,Folio 9r (bifolio with 10v in quire 3)
fuhc:euch.9v,fuhc:euch.10r,verso,3,18,Folio 9v (bifolio with 10r in quire 3)
fuhc:euch.10r,fuhc:euch.9v,recto,3,19,Folio 10r (bifolio with 9v in quire 3)
fuhc:euch.10v,fuhc:euch.9r,verso,3,20,Folio 10v (bifolio with 9r in quire 3)
fuhc:euch.11r,fuhc:euch.8v,recto,3,21,Folio 11r (bifolio with 8v in quire 3)
fuhc:euch.11v,fuhc:euch.8r,verso,3,22,Folio 11v (bifolio with 8r in quire 3)
fuhc:euch.12r,fuhc:euch.7v,recto,3,23,Folio 12r (bifolio with 7v in quire 3)
fuhc:euch.12v,fuhc:euch.7r,verso,3,24,Folio 12v (bifolio with 7r in quire 3)
fuhc:euch.13r,fuhc:euch.20v,recto,4,25,Folio 13r (bifolio with 20v in quire 4)
fuhc:euch.13v,fuhc:euch.20r,verso,4,26,Folio 13v (bifolio with 20r in quire 4)
fuhc:euch.14r,fuhc:euch.19v,recto,4,27,Folio 14r (bifolio with 19v in quire 4)
fuhc:euch.14v,fuhc:euch.19r,recto,4,28,Folio 14v (bifolio with 19r in quire 4)
fuhc:euch.15r,fuhc:euch.18v,recto,4,29,Folio 15r (bifolio with 18v in quire 4)
fuhc:euch.15v,fuhc:euch.18r,verso,4,30,Folio 15v (bifolio with 18r in quire 4)
fuhc:euch.16r,fuhc:euch.17v,recto,4,31,Folio 16r (bifolio with 17v in quire 4)
fuhc:euch.16v,fuhc:euch.17r,verso,4,32,Folio 16v (bifolio with 17r in quire 4)
fuhc:euch.17r,fuhc:euch.16v,recto,4,33,Folio 17r (bifolio with 16v in quire 4)
fuhc:euch.17v,fuhc:euch.16r,verso,4,34,Folio 17v (bifolio with 16r in quire 4)
fuhc:euch.18r,fuhc:euch.15v,recto,4,35,Folio 18r (bifolio with 15v in quire 4)
fuhc:euch.18v,fuhc:euch.15r,verso,4,36,Folio 18v (bifolio with 15r in quire 4)
fuhc:euch.19r,fuhc:euch.14v,recto,4,37,Folio 19r (bifolio with 14v in quire 4)
fuhc:euch.19v,fuhc:euch.14r,verso,4,38,Folio 19v (bifolio with 14r in quire 4)
fuhc:euch.20r,fuhc:euch.13v,recto,4,39,Folio 20r (bifolio with 13v in quire 4)
fuhc:euch.20v,fuhc:euch.13r,verso,4,40,Folio 20v (bifolio with 13r in quire 4)
fuhc:euch.21r,fuhc:euch.28v,recto,5,41,Folio 21r (bifolio with 28v in quire 5)
fuhc:euch.21v,fuhc:euch.28r,verso,5,42,Folio 21v (bifolio with 28r in quire 5)
fuhc:euch.22r,fuhc:euch.27v,recto,5,43,Folio 22r (bifolio with 27v in quire 5)
fuhc:euch.22v,fuhc:euch.27r,verso,5,44,Folio 22v (bifolio with 27r in quire 5)
fuhc:euch.23r,fuhc:euch.26v,recto,5,45,Folio 23r (bifolio with 26v in quire 5)
fuhc:euch.23v,fuhc:euch.26r,verso,5,46,Folio 23v (bifolio with 26r in quire 5)
fuhc:euch.24r,fuhc:euch.25v,recto,5,47,Folio 24r (bifolio with 25v in quire 5)
fuhc:euch.24v,fuhc:euch.25r,verso,5,48,Folio 24v (bifolio with 25r in quire 5)
fuhc:euch.25r,fuhc:euch.24v,recto,5,49,Folio 25r (bifolio with 24v in quire 5)
fuhc:euch.25v,fuhc:euch.24r,verso,5,50,Folio 25v (bifolio with 24r in quire 5)
fuhc:euch.26r,fuhc:euch.23v,recto,5,51,Folio 26r (bifolio with 23v in quire 5)
fuhc:euch.26v,fuhc:euch.23r,verso,5,52,Folio 26v (bifolio with 23r in quire 5)
fuhc:euch.27r,fuhc:euch.22v,recto,5,53,Folio 27r (bifolio with 22v in quire 5)
fuhc:euch.27v,fuhc:euch.22r,verso,5,54,Folio 27v (bifolio with 22r in quire 5)
fuhc:euch.28r,fuhc:euch.21v,recto,5,55,Folio 28r (bifolio with 21v in quire 5)
fuhc:euch.28v,fuhc:euch.21r,verso,5,56,Folio 28v (bifolio with 21r in quire 5)
fuhc:euch.29r,fuhc:euch.34v,recto,6,57,Folio 29r (bifolio with 34v in quire 6)
fuhc:euch.29v,fuhc:euch.34r,verso,6,58,Folio 29v (bifolio with 34r in quire 6)
fuhc:euch.30r,fuhc:euch.33v,recto,6,59,Folio 30r (bifolio with 33v in quire 6)
fuhc:euch.30v,fuhc:euch.33r,verso,6,60,Folio 30v (bifolio with 33r in quire 6)
fuhc:euch.31r,fuhc:euch.32v,recto,6,61,Folio 31r (bifolio with 32v in quire 6)
fuhc:euch.31v,fuhc:euch.32r,verso,6,62,Folio 31v (bifolio with 32r in quire 6)
fuhc:euch.32r,fuhc:euch.31v,recto,6,63,Folio 32r (bifolio with 31v in quire 6)
fuhc:euch.32v,fuhc:euch.31r,verso,6,64,Folio 32v (bifolio with 31r in quire 6)
fuhc:euch.33r,fuhc:euch.30v,recto,6,65,Folio 33r (bifolio with 30v in quire 6)
fuhc:euch.33v,fuhc:euch.30r,verso,6,66,Folio 33v (bifolio with 30r in quire 6)
fuhc:euch.34r,fuhc:euch.29v,recto,6,67,Folio 34r (bifolio with 29v in quire 6)
fuhc:euch.34v,fuhc:euch.29r,verso,6,68,Folio 34v (bifolio with 29r in quire 6)
fuhc:euch.35r,fuhc:euch.38v,recto,7,69,Folio 35r (bifolio with 38v in quire 7)
fuhc:euch.35v,fuhc:euch.38r,verso,7,70,Folio 35v (bifolio with 38r in quire 7)
fuhc:euch.36r,fuhc:euch.37v,recto,7,71,Folio 36r (bifolio with 37v in quire 7)
fuhc:euch.36v,fuhc:euch.37r,verso,7,72,Folio 36v (bifolio with 37r in quire 7)
fuhc:euch.37r,fuhc:euch.36v,recto,7,73,Folio 37r (bifolio with 36v in quire 7)
fuhc:euch.37v,fuhc:euch.36r,verso,7,74,Folio 37v (bifolio with 36r in quire 7)
fuhc:euch.38r,fuhc:euch.35v,recto,7,75,Folio 38r (bifolio with 35v in quire 7)
fuhc:euch.38v,fuhc:euch.35r,verso,7,76,Folio 38v (bifolio with 35r in quire 7)
fuhc:euch.39r,,recto,8,77,Folio 39r (single folio in quire 8)
fuhc:euch.39v,,verso,8,78,Folio 39v (single folio in quire 8)
fuhc:euch.40r,,recto,9,79,Folio 40r (single folio in quire 9)
fuhc:euch.40v,,verso,9,80,Folio 40v (single folio in quire 9)
fuhc:euch.41r,fuhc:euch.48v,recto,10,81,Folio 41r (bifolio with 48v in quire 10)
fuhc:euch.41v,fuhc:euch.48r,verso,10,82,Folio 41v (bifolio with 48r in quire 10)
fuhc:euch.42r,fuhc:euch.47v,recto,10,83,Folio 42r (bifolio with 47v in quire 10)
fuhc:euch.42v,fuhc:euch.47r,verso,10,84,Folio 42v (bifolio with 47r in quire 10)
fuhc:euch.43r,fuhc:euch.46v,recto,10,85,Folio 43r (bifolio with 46v in quire 10)
fuhc:euch.43v,fuhc:euch.46r,verso,10,86,Folio 43v (bifolio with 46r in quire 10)
fuhc:euch.44r,fuhc:euch.45v,recto,10,87,Folio 44r (bifolio with 45v in quire 10)
