Diagram,Notes,Image,Folio
urn:cts:greekLit:tlg0552.tlg008:1.1.1,"Proof by contradiction; logical diagram","urn:cite:ap:apimg.081v-088r_Arch03v_Sinar_pseudo_no-veil@0.11966667,0.5295,0.26666667,0.1545",urn:cite:fuhc:euch.3v
urn:cts:greekLit:tlg0552.tlg008:1.2.1,"Proof by contradiction","urn:cite:ap:apimg.056r-049v_Arch04r_Sinar_pseudo_no-veil@0.10700000,0.5475,0.31066667,0.161",urn:cite:fuhc:euch.4r
urn:cts:greekLit:tlg0552.tlg008:1.2.1,"Heiberg","urn:cite:ap:apimg.056r-049v_Arch04r_Heiberg_visible_stitch@0.1103,0.541,0.3117,0.1742",urn:cite:fuhc:euch.4r
urn:cts:greekLit:tlg0552.tlg008:1.3.1,"Proof by contradiction; illogical diagram","urn:cite:ap:apimg.056v-049r_Arch04v_Sinar_pseudo_no-veil@0.08233333,0.768,0.31766667,0.1535",urn:cite:fuhc:euch.4v
urn:cts:greekLit:tlg0552.tlg008:1.3.1,"Heiberg","urn:cite:ap:apimg.056v-049r_Arch04v_Heiberg_visible_stitch@0.0963,0.764,0.3087,0.149",urn:cite:fuhc:euch.4v
urn:cts:greekLit:tlg0552.tlg008:1.4.1,"Proof by contradiction; Illogical diagram","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.18166667,0.76025,0.29333333,0.16075",urn:cite:fuhc:euch.5r
urn:cts:greekLit:tlg0552.tlg008:1.5.1,"Straightforward proof; Logical diagram","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.56533333,0.61225,0.27466667,0.16725",urn:cite:fuhc:euch.5r
urn:cts:greekLit:tlg0552.tlg008:1.6.1,"Straightforward proof","urn:cite:ap:apimg.055v-050r_Arch05v_Sinar_pseudo_no-veil@0.48866667,0.21225,0.34266667,0.1695",urn:cite:fuhc:euch.5v
urn:cts:greekLit:tlg0552.tlg008:1.7.1,"Straightforward proof","urn:cite:ap:apimg.082r-087v_Arch06r_Sinar_pseudo_no-veil@0.11766667,0.776,0.20066667,0.142",urn:cite:fuhc:euch.6r
urn:cts:greekLit:tlg0552.tlg008:1.8.1,,"urn:cite:ap:apimg.082v-087r_Arch06v_Sinar_pseudo_no-veil@0.52066667,0.4005,0.247,0.2075",urn:cite:fuhc:euch.6v
urn:cts:greekLit:tlg0552.tlg008:1.9.1,,"urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.42933333,0.199,0.362,0.1545",urn:cite:fuhc:euch.7r
urn:cts:greekLit:tlg0552.tlg008:1.9.2,,"urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.47866667,0.3515,0.262,0.1465",urn:cite:fuhc:euch.7r
urn:cts:greekLit:tlg0552.tlg008:1.9.3,,"urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.47166667,0.49525,0.24833333,0.14175",urn:cite:fuhc:euch.7r
urn:cts:greekLit:tlg0552.tlg008:2.1.1,,"urn:cite:ap:apimg.017v-016r_Arch07v_Sinar_pseudo_no-veil@0.1903,0.5958,0.336,0.2313",urn:cite:fuhc:euch.7v
urn:cts:greekLit:tlg0552.tlg008:2.2.1,,"urn:cite:ap:apimg.028r-021v_Arch08r_Sinar_pseudo_no-veil@0.3957,0.647,0.3703,0.1293",urn:cite:fuhc:euch.8r
urn:cts:greekLit:tlg0552.tlg008:2.2.1,"Heiberg","urn:cite:ap:apimg.028r-021v_Arch08r_Heiberg_visible_stitch@0.398,0.6393,0.3717,0.1407",urn:cite:fuhc:euch.8r
urn:cts:greekLit:tlg0552.tlg008:2.3.1,,"urn:cite:ap:apimg.028v-021r_Arch08v_Sinar_pseudo_no-veil@0.529,0.1615,0.321,0.177",urn:cite:fuhc:euch.8v
urn:cts:greekLit:tlg0552.tlg008:2.7.1,,"urn:cite:ap:apimg.069r-068v_Arch09r_Sinar_pseudo_no-veil@0.4673,0.5485,0.2877,0.1068",urn:cite:fuhc:euch.9r
urn:cts:greekLit:tlg0552.tlg008:2.8.1,,"urn:cite:ap:apimg.128r-129v_Arch10r_Sinar_pseudo_no-veil@0.4833,0.4435,0.313,0.208",urn:cite:fuhc:euch.10r
