figureUrn,imageReference,Label
urn:cite:ap:graphics.001,"urn:cite:ecod:codbod8.cb-0008_003r@0.6737,0.3068,0.042,0.0248",Unlabelled graphic feature
urn:cite:ap:graphics.006,"urn:cite:ecod:codbod8.cb-0008_005r@0.8348,0.0248,0.037,0.021",Unlabelled graphic feature
urn:cite:ap:graphics.013,"urn:cite:ecod:codbod8.cb-0008_002r@0.8198,0.0233,0.034,0.0225",Unlabelled graphic feature
urn:cite:ap:graphics.014,"urn:cite:ecod:codbod8.cb-0008_010r@0.6837,0.494,0.037,0.0247",Unlabelled graphic feature
urn:cite:ap:graphics.017,"urn:cite:ecod:codbod8.cb-0008_015r@0.8168,0.0255,0.039,0.0188",Unlabelled graphic feature
"urn:cite:ap:graphics.028","urn:cite:ecod:codbod8.cb-0008_022r@0.6647,0.1305,0.047,0.0263",Unlabelled graphic feature
urn:cite:ap:graphics.039,"urn:cite:ecod:codbod8.cb-0008_032v@0.2663,0.132,0.0631,0.0345",Unlabelled graphic feature
urn:cite:ap:graphics.002,"urn:cite:ecod:codbod8.cb-0008_003r@0.6847,0.6917,0.045,0.0315",Unlabelled graphic feature
urn:cite:ap:graphics.009,"urn:cite:ecod:codbod8.cb-0008_007v@0.2603,0.4719,0.0501,0.033",Unlabelled graphic feature
urn:cite:ap:graphics.012,"urn:cite:ecod:codbod8.cb-0008_001r@0.8328,0.0278,0.043,0.021",Unlabelled graphic feature
urn:cite:ap:graphics.019,"urn:cite:ecod:codbod8.cb-0008_017r@0.6747,0.6504,0.0511,0.0263",Unlabelled graphic feature
urn:cite:ap:graphics.030,"urn:cite:ecod:codbod8.cb-0008_025v@0.2783,0.7322,0.045,0.027",Unlabelled graphic feature
urn:cite:ap:graphics.041,"urn:cite:ecod:codbod8.cb-0008_035v@0.2613,0.2858,0.047,0.0315",Unlabelled graphic feature
urn:cite:ap:graphics.003,"urn:cite:ecod:codbod8.cb-0008_003v@0.2733,0.5649,0.042,0.0323",Unlabelled graphic feature
urn:cite:ap:graphics.008,"urn:cite:ecod:codbod8.cb-0008_007r@0.6747,0.4044,0.044,0.033",Unlabelled graphic feature
