graphicsUrn,imageReference,description,section
urn:cite:ap:graphics.001,"urn:cite:ecod:codbod8.cb-0008_003r@0.0771,0.3083,0.0701,0.0728",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1
urn:cite:ap:graphics.007,"urn:cite:ecod:codbod8.cb-0008_004v@0.2472,0.4081,0.0531,0.0405",δ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.4
urn:cite:ap:graphics.013,"urn:cite:ecod:codbod8.cb-0008_006v@0.2583,0.5371,0.029,0.0263",η in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.8
urn:cite:ap:graphics.023,"urn:cite:ecod:codbod8.cb-0008_011v@0.2703,0.5994,0.034,0.0248",ιγ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13
urn:cite:ap:graphics.037,"urn:cite:ecod:codbod8.cb-0008_019v@0.2973,0.1463,0.037,0.0323",ιθ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3
urn:cite:ap:graphics.046,"urn:cite:ecod:codbod8.cb-0008_022v@0.6266,0.1905,0.0721,0.0773",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.7
urn:cite:ap:graphics.057,"urn:cite:ecod:codbod8.cb-0008_028v@0.2803,0.126,0.049,0.0353",κη in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.14
urn:cite:ap:graphics.078,"urn:cite:ecod:codbod8.cb-0008_037r@0.6617,0.4599,0.0881,0.057",λζ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9
urn:cite:ap:graphics.109,"urn:cite:ecod:codbod8.cb-0008_054v@0.2322,0.5401,0.1922,0.0998",illuminated Π,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8
urn:cite:ap:graphics.002,"urn:cite:ecod:codbod8.cb-0008_003r@0.6707,0.3016,0.044,0.033",α in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1
urn:cite:ap:graphics.009,"urn:cite:ecod:codbod8.cb-0008_005r@0.0851,0.3421,0.0651,0.0803",illuminated Κ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.5
urn:cite:ap:graphics.015,"urn:cite:ecod:codbod8.cb-0008_007r@0.0701,0.4119,0.0551,0.0683",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9
urn:cite:ap:graphics.020,"urn:cite:ecod:codbod8.cb-0008_008v@0.6216,0.5131,0.0521,0.0428",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11
urn:cite:ap:graphics.036,"urn:cite:ecod:codbod8.cb-0008_019r@0.6256,0.2318,0.048,0.0375",ιη in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.2
urn:cite:ap:graphics.045,"urn:cite:ecod:codbod8.cb-0008_022v@0.2643,0.2018,0.0591,0.0368",κγ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.7
urn:cite:ap:graphics.056,"urn:cite:ecod:codbod8.cb-0008_027v@0.7157,0.105,0.0831,0.084",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.13
urn:cite:ap:graphics.077,"urn:cite:ecod:codbod8.cb-0008_037r@0.023,0.4614,0.0861,0.0975",illuminated Ε,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9
urn:cite:ap:graphics.096,"urn:cite:ecod:codbod8.cb-0008_047v@0.2823,0.7044,0.0561,0.045",δ in margin as heading,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.4
urn:cite:ap:graphics.104,"urn:cite:ecod:codbod8.cb-0008_052v@0.3333,0.3083,0.0831,0.0953",illuminated Σ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6
