placeNameUrn,PleiadesID,English
urn:cite:ap:placeName.01,pleiades.stoa.org/places/687839,Ascalon
urn:cite:ap:placeName.02,pleiades.stoa.org/places/599576,Cnidus
urn:cite:ap:placeName.03,pleiades.stoa.org/places/520985,Byzantium
urn:cite:ap:placeName.04,pleiades.stoa.org/places/599799,Miletus
urn:cite:ap:placeName.05,pleiades.stoa.org/places/550496,Chios
urn:cite:ap:placeName.06,pleiades.stoa.org/places/599588,Delos
urn:cite:ap:placeName.07,pleiades.stoa.org/places/442810,Tarentum
urn:cite:ap:placeName.08,,Academy
urn:cite:ap:placeName.09,pleiades.stoa.org/places/462503,Syracuse
urn:cite:ap:placeName.10,,Perga
urn:cite:ap:placeName.11,pleiades.stoa.org/places/511268,Nicaea
urn:cite:ap:placeName.12,pleiades.stoa.org/places/697665,Gadara
