omittedText,section,folio,order
ἐπὶ τῶν,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.1,167v,001
"λέγω, ὅτι καὶ συνθέντι τὸ ΑΓ πρὸς τὸ ΓΒ μείζονα λόγον ἔχει ἤπερ τὸ ΔΖ πρὸς τὸ ΖΕ",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,170v,009
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,014
"ἐστὶ τοῖς ἀπὸ ΖΘ, ΘΕ. καὶ ἐστι τοῖς μὲν ἀπὸ ΓΘ, ΘΕ ἴσον",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,180v,030
"ὁ αὐτός ἐστι τῷ λόγῳ, ὃν ἔχει ὁ ἀπὸ τῆς ΑΜ κύβος πρὸς τὸν ἀπὸ τῆς ΜΗ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,183v,036
"ὕψος δὲ τὴν ἐκ τοῦ κέντρου τῆς σφαίρας, ὁ δὲ Η βάσιν  μὲν ἴσην τῇ ἐπιφανεία τοῦ κατὰ τὴν ΒΘΔ τμήματος, ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,192r,054
"ΡΒ, τουτέστι πρὸς τὸ ἀπὸ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200r,079
"διὰ Η, Λ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,202v,082
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206r,098
ἄρα,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6.synthesis,210r,116
ὁ αὐτός,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,212v,127
πρὸς τὸ τμῆμα[1],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214v,140
πρὸς τὸ ὑπὸ ΒΘΓ ἐπὶ τὴν ΘΗ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,147
ὃ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,149
τοῖς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,216v,162
αὐτῶν,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,168r,002
τῷ ΓΚΑ τριγώνῳ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1,175r,022
"ἔχει ἡ ΔΒΕΖ, ἴσης οὔσης, ὡς εἴρηται, τῆς ΔΒ τῆ ΕΖ. λέγω, ὅτι",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,180v,032
"ἔστιν, ὡς ἡ Α πρὸς τὴν ΖΘ, ἡ ΖΔ πρὸς τὴν Ε. ἀλλ' ὡς ἡ Α πρὸς τὴν ΖΘ, ἡ ΖΘ πρὸς ΖΔ· καὶ ὡς ἄρα ἡ Α πρὸς τὴν ΖΘ, ἡ ΖΘ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.menaechmus,185r,039
καὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,191v,052
"οὕτως  ἡ ΑΕ πρὸς ΕΓ: καὶ ὡς ἄρα τὸ ἀπὸ ΚΔ πρὸς τὸ   ὑπὸ τῶν ΚΘΔ,",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,193r,056
τὸ[1],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,196v,069
ἐπὶ τὴν ΣΑ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200r,078
ὁ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,202v,085
ΒΗ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204r,093
ΑΒ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,207v,104
λόγος,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6,210r,114
ὃν ἔχει ἡ Γ πρὸς Δ:  ὥστε ἡ ΑΒ πρὸς Δ μείζονα ἢ ἡμιόλιον λόγον ἔχει τοῦ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,212v,125
τὸ ἀπὸ ΑΘ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,138
πρὸς ΘΒ ὁ αὐτός ἐστι τῷ τοῦ ἀπὸ ΑΘ πρὸς  τὸ ἀπὸ ΘΒ μετὰ τοῦ τῆς ΒΘ πρὸς ΘΓ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215r,145
τῷ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216v,160
ἤπερ ἡ τρίτη ἡ ΚΓ τρὸς τετάρτην τὴν ΑΡ: καὶ ἐναλλὰξ ἡ ΓΑ πρὸς ΚΓ μείζονα λόγον  ἔχει,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,171
καὶ τὸ ἡμισφαίριον τὸ κατὰ  τὴν ΕΖΘ περιφέρειαν μεῖζόν ἐστι,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,218r,176
ἐν,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.3,168v,003
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1,175v,023
"ΜΑ. ἀλλ' ὡς μὲν ἡ ΓΜ πρὸς ΜΗ, ἡ ΓΔ πρὸς ΔΕ, ὡς δὲ ἡ ΓΜ πρὸς ΜΛ, ἡ ΑΜ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,184r,037
ΘΖ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.3,168v,004
ΞΗΝ γωνίᾳ ἴσην ποιήσαντες τὴν ὑπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,012
ἡ οὕτως ἀγομένη παράλληλος γίνεται,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,172v,017
ἴσῳ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.3,175v,024
"καὶ τῆς τὰ αὐτὰ πέρατα ἐχούσης εὐθείας, ἢ τινὰ μὲν περιλαμβάνεσθαι",urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.5,169v,005
αἱ[1],urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.13,173v,018
"τὸ ἄρα ὑπὸ ΒΔ, ΑΗ μετὰ τοῦ ΔΑ, ΑΗ",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.16,174v,020
"κείσθω αὐτῆς ἡμίσεια ἡ ΗΜ, καὶ συμπεπληπώσθω τὸ ΖΝ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.preface,178r,028
ἐστὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,180v,031
σημείων,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,187v,043
τὸν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,195v,066
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,196r,068
τὸ[2],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,196v,071
αὐτῷ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,196v,072
τὸ ἄρα ἀπὸ ΒΣ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200r,077
τῷ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,203v,087
τῆς ΘΑΕ καὶ συναμφοτέρου,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204v,095
τὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,207v,106
ἔσται,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.7,210v,118
ὡς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,213r,129
ἐλάσσονα,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,151
τὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,216v,164
τριγώνω,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,172
τὰ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.5,169v,006
ἤπερ ἡ Η τῆς Λ. τῷ δὲ αὐτῷ  ὑπερέχει ἡ ΑΒ τῆς Η,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.3,176r,025
ἐπὶ τὰ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,189r,046
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,191r,050
ἡ ΘΔ πρὸς ΔΓ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,192v,055
ὡς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,193r,057
τὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200v,080
τὸν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,203r,086
"ΒΕ, ὡς δὲ τὴν ΗΒ  πρὸς ΒΕ, οὕτως τὴν αὐτὴν δοθεῖσαν εὐθεῖαν πρὸς τὴν",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204v,094
περὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,207v,105
τὰ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,209r,110
ἡ ΑΕ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211r,121
τὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,132
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,134
πρὸς τὸ  ἀπὸ ΒΓ τετράγωνον,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214v,142
ὅτι,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,154
τὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,156
τῆς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217r,167
καὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,170v,007
ΔΑ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,180r,029
δὲ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,186v,041
τῇ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,189v,047
τῷ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,190r,049
τὸ ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,193r,059
ἐπὶ τὸν ἑπόμενον ὅρον τοῦ λόγου καὶ  ποιοῦντος τὸν ἡγούμενον,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,194v,062
δὲ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,204r,090
τουτέστι πρὸς τὸ ἀπὸ  ΕΗ: ἴση γὰρ ἡ ΞΟ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206v,101
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211r,119
πρὸς τὸ ὕψος τοῦ λοιποῦ τμήματος,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,213v,130
"ἡ ΘΗ πρὸς ΘΖ, τουτέστιν ἡ ΗΘ πρὸς ΘΖ μείζονα λόγον ἔχει ἤπερ",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,152
ἴσον,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,216v,165
"τέταρτον, καὶ συνθέντι ὁ αὐτὸς λόγος ἀκολουθεῖ, δειχθήσεται οὕτως. ἔστωσαν",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,170v,008
τῆς μετὰ ΗΔ γωνίαν περιεχούσης,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,013
τῇ ΗΘ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,183r,035
τῇ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,192r,053
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,193r,058
τοῦ Θ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,195v,065
καὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,195v,067
ἁπλῶς,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,196v,070
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,199r,076
"καὶ ὡς τὸ ἀπὸ ΠΜ πρὸς τὸ ἀπὸ ΜΒ,",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,203v,088
ἐστὶ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,205r,096
πρὸς ΦΟ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,208v,107
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,209r,109
ὥστε καὶ ἡ ΑΓ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.7,210v,117
τοῦ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,213r,128
ὑπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,150
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,216v,163
μὲν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,174
ἔσται,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,171r,010
μείζονα λόγον ἔχει ἤπερ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,015
