omittedText,section,folio,order
ὥστε τὴν Θ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3,4r,002
αἱ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9,7v,005
"Τὰ δὲ παραλληλόγραμμα, ὧν βάσεις μὲν αἱ ΑΕ, ΕΒ, ὕψος δὲ τὸ αὐτὸ τῷ κυλίνδρῳ,",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12,11r,012
αἱ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,30r,059
ὅτι,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,31r,065
τῇ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5,34v,076
ἔχει,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.14,42v,102
τῇ ΑΒ· ἴσος ἄρα ἐστὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2,45v,109
πρὸς ΔΒ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.7,53v,119
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9,57v,138
" Ἀλλ' ὡς τὸ ΓΑ πρὸς ΑΘ, οὕτως ἡ ΕΗ πρὸς ΗΖ· ἡ ΕΗ ἄρα πρὸς ΗΖ ἐλάσσονα λόγον ἔχει ἤπερ τὸ ΓΑ πρὸς ΓΒ·",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2,3v,001
ἡ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.6,22v,038
καὶ δύο ἄρα τοῦ ΑΒΓΔ κύκλου,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.10,25v,046
τὸ σχῆμα,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.13,27v,051
τὴν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,31r,062
ἐστιν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.3,32v,070
αἱ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5,35r,078
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8,37r,084
οὕτως ἡ ἐκ τοῦ κέντρου τοῦ Μ κύκλου πρὸς τὴν ἐκ τοῦ κέντρου τοῦ Ν κύκλου,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,40r,094
στερεὸν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.14,42r,099
τῶν,urn:cts:greekLit:tlg0552.tlg001.cb8:2.preface,43v,105
δοθείς,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,52r,114
δοθείς,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,52v,115
ἀπὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,55r,124
ἡ βάσις,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.7,6v,003
"διπλασίονά ἐστιν τῶν τριγώνων]· μείζονα ἄρα ἐστὶ τὰ ΑΕΔ, ΔΕΓ τρίγωνα",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11,9r,010
ἔσται,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14,14r,020
τῆς ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.16,17v,026
τῶν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.17,18r,030
τὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4,20v,036
ἐπὶ τὰς,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9,7v,004
πλευρῶν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13,13r,016
"τῶν ΕΔΗ, ΖΔΗ, ΕΗΖ τριγώνων. Ἔστιν δὲ καὶ τὸ ὑπὸ τῶν ΘΚ, ΛΜ διπλάσιον",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.9,7v,006
ἐπὶ τῶν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10,8v,008
ἔσται,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10,8r,007
ὡς,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14,14r,022
" ἐπὶ τῶν ΒΖ, ΖΓ τμημάτων μείζων ἐστὶν τοῦ ΒΔΓ τριγώνου· ὅλη ἄρα ἡ ἐπιφάνεια ἡ μεταξὺ τῶν ΑΔΓ μετὰ τῶν",urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10,8v,009
