PalimpsestURN,PalimpsestImageReference
urn:cts:greekLit:tlg0552.tlg001.ap:1.preface,"urn:cite:ap:apimg.109r-106v_Arch45r_Sinar_pseudo_no-veil@0.4144,0.3196,0.3554,0.5169"
urn:cts:greekLit:tlg0552.tlg001.ap:1.preface,"urn:cite:ap:apimg.109v-106r_Arch45v_Sinar_pseudo_no-veil@0.1812,0.0983,0.3193,0.7359"
urn:cts:greekLit:tlg0552.tlg001.ap:1.preface,"urn:cite:ap:apimg.109v-106r_Arch45v_Sinar_pseudo_no-veil@0.4985,0.0998,0.3193,0.3676"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.1,"urn:cite:ap:apimg.109v-106r_Arch45v_Sinar_pseudo_no-veil@0.5265,0.4374,0.2783,0.1305"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.2,"urn:cite:ap:apimg.109v-106r_Arch45v_Sinar_pseudo_no-veil@0.5105,0.5401,0.2843,0.1913"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.3,"urn:cite:ap:apimg.109v-106r_Arch45v_Sinar_pseudo_no-veil@0.5175,0.7044,0.2893,0.135"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.3,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.0921,0.0825,0.3393,0.0488"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.4,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.1031,0.1088,0.3353,0.2033"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.5,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.0931,0.2888,0.3453,0.18"
urn:cts:greekLit:tlg0552.tlg001.ap:1.axioms.6,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.1291,0.4351,0.2963,0.18"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.0,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.1341,0.6122,0.1722,0.0225"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.1,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.1301,0.6114,0.2983,0.0668"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.2,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.1281,0.6534,0.3023,0.1725"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.2,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4064,0.0668,0.4104,0.087"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.3,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4224,0.1305,0.4104,0.1103"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.4,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4515,0.2131,0.3143,0.2686"
urn:cts:greekLit:tlg0552.tlg001.ap:1.postulates.5,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4214,0.4516,0.3463,0.3863"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.1,"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4605,0.7862,0.2923,0.0405"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.1,"urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_no-veil@0.1582,0.075,0.3293,0.4374"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.2,"urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_no-veil@0.1361,0.6294,0.3574,0.2108"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.2,"urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_no-veil@0.5155,0.0788,0.2913,0.7524"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.7,"urn:cite:ap:apimg.004r-005v_Arch47r_Sinar_pseudo_no-veil@0.1131,0.0915,0.3193,0.6204"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.8,"urn:cite:ap:apimg.004r-005v_Arch47r_Sinar_pseudo_no-veil@0.4264,0.0848,0.3203,0.7517"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.8,"urn:cite:ap:apimg.004v-005r_Arch47v_Sinar_pseudo_no-veil@0.1722,0.0885,0.3313,0.1973"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.9,"urn:cite:ap:apimg.004v-005r_Arch47v_Sinar_pseudo_no-veil@0.1722,0.4374,0.3083,0.3893"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.9,"urn:cite:ap:apimg.004v-005r_Arch47v_Sinar_pseudo_no-veil@0.5125,0.0885,0.3013,0.7412"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.9,"urn:cite:ap:apimg.108r-107v_Arch48r_Sinar_pseudo_no-veil@0.1361,0.0998,0.3063,0.7397"
urn:cts:greekLit:tlg0552.tlg001.ap:1.propositions.10,"urn:cite:ap:apimg.108r-107v_Arch48r_Sinar_pseudo_no-veil@0.4494,0.1823,0.3333,0.6557"
