DifferingReading,Relation,Bodmer8Reading
urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.9@ΛΗ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ
urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@ΛΗ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ
urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.9@ΛΗ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ
urn:cts:greekLit:tlg0552.tlg001.msG:2.propositions.9@ΛΗ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ
urn:cts:greekLit:tlg0552.tlg001.msG:2.propositions.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.9@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@δὲ
urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.9@μείζων,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@μεῖζον
urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.9@μείζων,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@μεῖζον
urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@μείζων,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@μεῖζον
urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.9@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ
urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ
urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.9@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ
urn:cts:greekLit:tlg0552.tlg001.msG:2.propositions.9@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ
