Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@μαθημάτων,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.preface@των
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.preface@λλομεν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@αἳ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.axioms.3@καὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.5@,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.axioms.5@τὸ κέντρον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@περὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.preface@τε
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@ἔχουσιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.axioms.3@ἔχουσαι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξίωμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.preface@τῶ τε ἀξίωμα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξίωμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξίωμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@αἳ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.axioms.3@καὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.5@,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.axioms.5@τὸ κέντρον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@αἳ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.axioms.3@καὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.5@,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.axioms.5@τὸ κέντρον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@αἳ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.axioms.3@καὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@ἔχουσιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.axioms.3@ἔχουσαι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.6@κώνοιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.axioms.6@κόνοιν
