eutociusPassage,archimedesPassage,Order
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.1,urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.2,003
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3,012
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.3,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.3,023
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.synthesis,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,031
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,042
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6.synthesis,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,053
urn:cts:greekLit:tlg4072.tlg001.cb8:1.preface,,001
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.6,005
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10,016
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.11,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,027
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.apollonius,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,035
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.4,046
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,057
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.1,urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.1,002
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.7,urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2,010
urn:cts:greekLit:tlg4072.tlg001.cb8:1.lemmata.13,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.13,021
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,040
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5.synthesis,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5,051
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.5,004
