Folio,DefaultImage
urn:cite:ap:bod8.1r,urn:cite:ecod:codbod8.cb-0008_001r
urn:cite:ap:bod8.1v,urn:cite:ecod:codbod8.cb-0008_001v
urn:cite:ap:bod8.2r,urn:cite:ecod:codbod8.cb-0008_002r
urn:cite:ap:bod8.2v,urn:cite:ecod:codbod8.cb-0008_002v
urn:cite:ap:bod8.3r,urn:cite:ecod:codbod8.cb-0008_003r
urn:cite:ap:bod8.3v,urn:cite:ecod:codbod8.cb-0008_003v
urn:cite:ap:bod8.4r,urn:cite:ecod:codbod8.cb-0008_004r
urn:cite:ap:bod8.4v,urn:cite:ecod:codbod8.cb-0008_004v
urn:cite:ap:bod8.5r,urn:cite:ecod:codbod8.cb-0008_005r
urn:cite:ap:bod8.5v,urn:cite:ecod:codbod8.cb-0008_005v
urn:cite:ap:bod8.6r,urn:cite:ecod:codbod8.cb-0008_006r
urn:cite:ap:bod8.6v,urn:cite:ecod:codbod8.cb-0008_006v
urn:cite:ap:bod8.7r,urn:cite:ecod:codbod8.cb-0008_007r
urn:cite:ap:bod8.7v,urn:cite:ecod:codbod8.cb-0008_007v
urn:cite:ap:bod8.8r,urn:cite:ecod:codbod8.cb-0008_008r
urn:cite:ap:bod8.8v,urn:cite:ecod:codbod8.cb-0008_008v
urn:cite:ap:bod8.9r,urn:cite:ecod:codbod8.cb-0008_009r
urn:cite:ap:bod8.9v,urn:cite:ecod:codbod8.cb-0008_009v
urn:cite:ap:bod8.10r,urn:cite:ecod:codbod8.cb-0008_010r
urn:cite:ap:bod8.10v,urn:cite:ecod:codbod8.cb-0008_010v
urn:cite:ap:bod8.11r,urn:cite:ecod:codbod8.cb-0008_011r
urn:cite:ap:bod8.11v,urn:cite:ecod:codbod8.cb-0008_011v
urn:cite:ap:bod8.12r,urn:cite:ecod:codbod8.cb-0008_012r
urn:cite:ap:bod8.12v,urn:cite:ecod:codbod8.cb-0008_012v
urn:cite:ap:bod8.13r,urn:cite:ecod:codbod8.cb-0008_013r
urn:cite:ap:bod8.13v,urn:cite:ecod:codbod8.cb-0008_013v
urn:cite:ap:bod8.14r,urn:cite:ecod:codbod8.cb-0008_014r
urn:cite:ap:bod8.14v,urn:cite:ecod:codbod8.cb-0008_014v
urn:cite:ap:bod8.15r,urn:cite:ecod:codbod8.cb-0008_015r
urn:cite:ap:bod8.15v,urn:cite:ecod:codbod8.cb-0008_015v
urn:cite:ap:bod8.16r,urn:cite:ecod:codbod8.cb-0008_016r
urn:cite:ap:bod8.16v,urn:cite:ecod:codbod8.cb-0008_016v
urn:cite:ap:bod8.17r,urn:cite:ecod:codbod8.cb-0008_017r
urn:cite:ap:bod8.17v,urn:cite:ecod:codbod8.cb-0008_017v
urn:cite:ap:bod8.18r,urn:cite:ecod:codbod8.cb-0008_018r
urn:cite:ap:bod8.18v,urn:cite:ecod:codbod8.cb-0008_018v
urn:cite:ap:bod8.19r,urn:cite:ecod:codbod8.cb-0008_019r
urn:cite:ap:bod8.19v,urn:cite:ecod:codbod8.cb-0008_019v
urn:cite:ap:bod8.20r,urn:cite:ecod:codbod8.cb-0008_020r
urn:cite:ap:bod8.20v,urn:cite:ecod:codbod8.cb-0008_020v
urn:cite:ap:bod8.21r,urn:cite:ecod:codbod8.cb-0008_021r
urn:cite:ap:bod8.21v,urn:cite:ecod:codbod8.cb-0008_021v
urn:cite:ap:bod8.22r,urn:cite:ecod:codbod8.cb-0008_022r
urn:cite:ap:bod8.22v,urn:cite:ecod:codbod8.cb-0008_022v
urn:cite:ap:bod8.23r,urn:cite:ecod:codbod8.cb-0008_023r
urn:cite:ap:bod8.23v,urn:cite:ecod:codbod8.cb-0008_023v
urn:cite:ap:bod8.24r,urn:cite:ecod:codbod8.cb-0008_024r
urn:cite:ap:bod8.24v,urn:cite:ecod:codbod8.cb-0008_024v
urn:cite:ap:bod8.25r,urn:cite:ecod:codbod8.cb-0008_025r
urn:cite:ap:bod8.25v,urn:cite:ecod:codbod8.cb-0008_025v
urn:cite:ap:bod8.26r,urn:cite:ecod:codbod8.cb-0008_026r
urn:cite:ap:bod8.26v,urn:cite:ecod:codbod8.cb-0008_026v
urn:cite:ap:bod8.27r,urn:cite:ecod:codbod8.cb-0008_027r
urn:cite:ap:bod8.27v,urn:cite:ecod:codbod8.cb-0008_027v
urn:cite:ap:bod8.28r,urn:cite:ecod:codbod8.cb-0008_028r
urn:cite:ap:bod8.28v,urn:cite:ecod:codbod8.cb-0008_028v
urn:cite:ap:bod8.29t,urn:cite:ecod:codbod8.cb-0008_029r
urn:cite:ap:bod8.29v,urn:cite:ecod:codbod8.cb-0008_029v
urn:cite:ap:bod8.30r,urn:cite:ecod:codbod8.cb-0008_030r
urn:cite:ap:bod8.30v,urn:cite:ecod:codbod8.cb-0008_030v
urn:cite:ap:bod8.31r,urn:cite:ecod:codbod8.cb-0008_031r
urn:cite:ap:bod8.31v,urn:cite:ecod:codbod8.cb-0008_031v
urn:cite:ap:bod8.32r,urn:cite:ecod:codbod8.cb-0008_032r
urn:cite:ap:bod8.32v,urn:cite:ecod:codbod8.cb-0008_032v
urn:cite:ap:bod8.33r,urn:cite:ecod:codbod8.cb-0008_033r
urn:cite:ap:bod8.33v,urn:cite:ecod:codbod8.cb-0008_033v
urn:cite:ap:bod8.34r,urn:cite:ecod:codbod8.cb-0008_034r
urn:cite:ap:bod8.34v,urn:cite:ecod:codbod8.cb-0008_034v
urn:cite:ap:bod8.35r,urn:cite:ecod:codbod8.cb-0008_035r
urn:cite:ap:bod8.35v,urn:cite:ecod:codbod8.cb-0008_035v
urn:cite:ap:bod8.36r,urn:cite:ecod:codbod8.cb-0008_036r
urn:cite:ap:bod8.36v,urn:cite:ecod:codbod8.cb-0008_036v
urn:cite:ap:bod8.37r,urn:cite:ecod:codbod8.cb-0008_037r
urn:cite:ap:bod8.37v,urn:cite:ecod:codbod8.cb-0008_037v
urn:cite:ap:bod8.38r,urn:cite:ecod:codbod8.cb-0008_038r
urn:cite:ap:bod8.38v,urn:cite:ecod:codbod8.cb-0008_038v
urn:cite:ap:bod8.39r,urn:cite:ecod:codbod8.cb-0008_039r
urn:cite:ap:bod8.39v,urn:cite:ecod:codbod8.cb-0008_039v
urn:cite:ap:bod8.40r,urn:cite:ecod:codbod8.cb-0008_040r
urn:cite:ap:bod8.40v,urn:cite:ecod:codbod8.cb-0008_040v
urn:cite:ap:bod8.41r,urn:cite:ecod:codbod8.cb-0008_041r
urn:cite:ap:bod8.41v,urn:cite:ecod:codbod8.cb-0008_041v
urn:cite:ap:bod8.42r,urn:cite:ecod:codbod8.cb-0008_042r
urn:cite:ap:bod8.42v,urn:cite:ecod:codbod8.cb-0008_042v
urn:cite:ap:bod8.43r,urn:cite:ecod:codbod8.cb-0008_043r
urn:cite:ap:bod8.43v,urn:cite:ecod:codbod8.cb-0008_043v
urn:cite:ap:bod8.44r,urn:cite:ecod:codbod8.cb-0008_044r
urn:cite:ap:bod8.44v,urn:cite:ecod:codbod8.cb-0008_044v
urn:cite:ap:bod8.45r,urn:cite:ecod:codbod8.cb-0008_045r
urn:cite:ap:bod8.45v,urn:cite:ecod:codbod8.cb-0008_045v
urn:cite:ap:bod8.46r,urn:cite:ecod:codbod8.cb-0008_046r
urn:cite:ap:bod8.46v,urn:cite:ecod:codbod8.cb-0008_046v
urn:cite:ap:bod8.47r,urn:cite:ecod:codbod8.cb-0008_047r
urn:cite:ap:bod8.47v,urn:cite:ecod:codbod8.cb-0008_047v
urn:cite:ap:bod8.48r,urn:cite:ecod:codbod8.cb-0008_048r
urn:cite:ap:bod8.48v,urn:cite:ecod:codbod8.cb-0008_048v
urn:cite:ap:bod8.49r,urn:cite:ecod:codbod8.cb-0008_049r
urn:cite:ap:bod8.49v,urn:cite:ecod:codbod8.cb-0008_049v
urn:cite:ap:bod8.50r,urn:cite:ecod:codbod8.cb-0008_050r
urn:cite:ap:bod8.50v,urn:cite:ecod:codbod8.cb-0008_050v
urn:cite:ap:bod8.51r,urn:cite:ecod:codbod8.cb-0008_051r
