Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.2@κοινὴν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.2@κοίλην
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@αὖται,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.3@αὐταὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.2@πίπτουσι,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.2@πίπτουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@αὐτῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.axioms.4@αυτων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.1@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@HE[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@HE[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΝΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.3@ΝΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@σημείω,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.4@σημείων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.4@ἐπειδ’ἂν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.postulates.4@ἐπειδὰν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2@ἐπειδ’ἂν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.postulates.2@ἐπειδὰν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.postulates.5@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.1@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@τοῦ α
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@HE[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΝΓ,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.3@ΗΝΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.4@γὰρ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.4@γίνεται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.3@εἰσι,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.3@εἰσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἑαυτὸ,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.postulates.5@ἑαυτὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@πίπτουσι,agrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.axioms.4@πίπτουσι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@κοινὰς,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.4@κοίλας
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@αὐτῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.4@αὐτῆς
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.1@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@HE[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ἐστιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.3@ἐστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΝΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.3@ΝΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@EZ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.3@HΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@περιγεγραφὲν[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@περιγραφὲν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@αὐτῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.axioms.4@αυτων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2@περιλαμβάνεται,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.postulates.2@περιλαμβάνηται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἑαυτὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.postulates.5@αὐτὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἑαυτὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.postulates.5@αὐτὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,agrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.preface@τό τε ἀξιώμα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[2],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.1@ἐστὶ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@τοῦ α
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@εὐκλείδων,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.2@Eὐκλείδου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@HE[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ ZH,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@ἡ ZH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἴσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@εἰρημένον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.4@ὁμοίως,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.4@ὁμοίου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.6@ἔσται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἀποχείμματα,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@ἀπολείμματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@μηδεμιᾶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.4@μηδεμία
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.postulates.5@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.1@ἐστὶν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@τοῦ πρώτου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@ΖΕ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ ZH,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@τὸ ZH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἴσον,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@ἴσον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ἐπιγραφομένου,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.3@ἐγγραφομένου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@εἶναι[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.6@ἔσται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@εἶναι[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@περιγεγραφὲν[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@περιγραφὲν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.preface@τά τε ἀξιώματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@πίπτουσι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.axioms.4@πίπτουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@πίπτουσι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.axioms.4@πίπτουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.1@ἐστὶν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@τοῦ α
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ ZH,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@ἡ ZH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τ έστι,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.2@τουτέστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἴσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.propositions.2@εἰρημένον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@καὶ κύκλου δοθέντων,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.3@δοθέντων καὶ κύκλου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἐστι,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@ἐστιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.6@ἔσται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.preface@τό τε ἀξιώμα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.preface@τά τε ἀξιώματα
